DateTime,Entries,UniqueIPs
1535679370,8949,8949
1535701230,8735,8735
1535723322,8572,8572
1535745368,8613,8613
1535767311,8663,8663
1535789310,10206,10206
1535811404,10258,10258
1535833453,10379,10379
1535855298,10365,10365
1535877389,10108,10108
1535899248,10108,10108
1535921300,10076,10076
1535943162,10075,10075
1535965287,10157,10157
1535987320,10192,10192
1536009409,10203,10203
1536031706,10252,10252
1536053557,10258,10258
1536075614,10260,10260
1536097460,10263,10263
1536119311,10268,10268
1536141169,10232,10232
1536163268,10550,10550
1536185296,10552,10552
1536207412,10552,10552
1536229476,9494,9494
1536251562,9501,9501
1536273607,9504,9504
1536295719,9482,9482
1536317771,9462,9462
1536339654,9450,9450
1536362155,8795,8795
1536384029,6374,6374
1536405878,5248,5248
1536427958,4991,4991
1536450046,4914,4914
1536472108,4924,4924
1536494492,5090,5090
1536516522,5253,5253
1536538597,5229,5229
1536560665,6040,6040
1536582735,5929,5929
1536604618,5914,5914
1536626657,6524,6524
1536648522,6447,6447
1536670607,7093,7093
1536692931,7879,7879
1536714978,7895,7895
1536737106,7807,7807
1536759160,7782,7782
1536781220,7461,7461
1536803063,7435,7435
1536825162,7437,7437
1536847262,7466,7466
1536869328,7948,7948
1536891394,7941,7941
1536913463,8421,8421
1536935562,8715,8715
1536957617,7297,7297
1536979470,9531,9531
1537001794,9534,9534
1537023690,9512,9512
1537045963,9515,9515
1537068038,9397,9397
1537090130,9452,9452
1537112451,9470,9470
1537134741,9584,9584
1537156590,9582,9582
1537178488,9227,9227
1537200555,9231,9231
1537222587,9274,9274
1537244649,9193,9193
1537266507,8492,8492
1537288536,7510,7510
1537310409,7557,7557
1537332282,7564,7564
1537354347,7512,7512
1537376434,7513,7513
1537398527,7513,7513
1537420599,7508,7508
1537442443,7504,7504
1537464500,7402,7402
1537486602,7405,7405
1537508675,7410,7410
1537530998,7206,7206
1537553109,7219,7219
1537575146,7107,7107
1537597228,5289,5289
1537619301,5295,5295
1537641386,5347,5347
1537663469,5337,5337
1537685545,4962,4962
1537707675,5110,5110
1537729706,5089,5089
1537751561,4994,4994
1537773638,6319,6319
1537795698,6283,6283
1537817805,6233,6233
1537839855,6231,6231
1537861983,6118,6118
1537884278,6116,6116
1537906345,6346,6346
1537928430,5760,5760
1537950496,5461,5461
1537972352,5074,5074
1537994681,6053,6053
1538016747,7526,7526
1538039078,8146,8146
1538061135,8147,8147
1538083230,7950,7950
1538105471,7952,7952
1538127389,7966,7966
1538149469,7499,7499
1538171314,7499,7499
1538193385,7554,7554
1538215313,7557,7557
1538237582,7703,7703
1538259629,7711,7711
1538281793,7890,7890
1538303793,7849,7849
1538325852,8421,8421
1538347695,8430,8430
1538369557,8681,8681
1538391642,9402,9402
1538413938,9920,9920
1538435807,10011,10011
1538457849,10130,10130
1538479955,10124,10124
1538502278,10089,10089
1538524606,10090,10090
1538546711,10091,10091
1538568745,10104,10104
1538590601,10105,10105
1538612442,10106,10106
1538634496,10039,10039
