DateTime,Entries,UniqueIPs
1540562427,3738,3779
1540576826,3729,3770
1540591225,3598,3637
1540605625,3707,3746
1540612824,3749,3789
1540621223,3771,3813
1540629026,3840,3883
1540643426,3957,4005
1540651826,3838,3885
1540659625,3742,3787
1540674025,3791,3836
1540688423,3856,3899
1540695624,3816,3858
1540703424,3793,3832
1540710627,3705,3739
1540719026,3633,3667
1540726827,3644,3679
1540735826,3751,3790
1540744825,3802,3840
1540754426,3837,3876
1540762825,3901,3942
1540776024,4047,4089
1540785023,4049,4093
1540794623,4032,4076
1540802426,3999,4042
1540810825,3970,4013
1540819225,3872,3916
1540827625,3807,3851
1540836624,3732,3776
1540845024,3653,3695
1540858823,3698,3738
1540866624,3755,3798
1540895426,3953,4000
1540910424,4053,4101
1540924225,4002,4049
1540937423,3849,3895
1540944624,3789,3827
1540953023,3829,3867
1540966822,3623,3658
1540974626,3665,3700
1540982426,3615,3649
1540990826,3634,3669
1540998625,3745,3782
1541006427,3757,3796
1541020225,3908,3951
1541028025,4010,4057
1541035224,4068,4121
1541049623,4061,4113
1541056825,4053,4103
1541065226,3976,4025
1541079025,3936,3984
1541092824,3817,3861
1541107224,3673,3714
1541121624,3758,3800
1541130023,3782,3824
1541143224,3844,3885
1541157626,3928,3970
1541164825,3922,3969
1541179224,4010,4059
1541193625,3927,3979
1541208023,3822,3871
1541222422,3711,3756
1541236225,3642,3685
1541244025,3629,3668
1541251224,3604,3644
1541265624,3643,3688
1541280024,3754,3799
1541294423,3933,3983
1541308822,3937,3992
1541316023,3798,3850
1541324425,3823,3875
1541338225,3797,3848
1541352625,3607,3649
1541365825,3580,3619
1541373624,3637,3678
1541380824,3620,3659
1541395223,3716,3757
1541402422,3764,3806
1541416825,3868,3912
1541425225,3829,3874
1541433625,3806,3853
1541446824,3854,3901
1541461224,3834,3880
1541473822,3708,3750
1541488223,3733,3776
1541502026,3676,3719
1541515225,3682,3723
1541522425,3655,3696
1541530225,4779,4831
1541538624,4936,4990
1541547025,4988,5042
1541553624,5102,5162
1541562024,5052,5108
1541570424,4993,5048
1541578225,5020,5075
1541586625,4934,4986
1541594425,4952,5004
1541603424,4926,4980
1541617224,5000,5055
1541631024,4840,4892
1541637623,6067,6154
1541650823,10187,10314
1541668226,10772,10893
1541682626,11013,11143
1541697626,10752,10883
1541726424,10822,10959
1541740225,10133,10261
1541754626,10275,10405
1541769626,10889,11031
1541786426,11187,11338
1541801427,11422,11580
1541817624,11434,11591
1541834424,11439,11599
1541850027,11564,11731
1541866226,11077,11235
1541883626,10938,11095
1541898025,11086,11248
1541911824,11148,11314
1541926827,11196,11366
1541943026,11409,11582
1541958027,11324,11494
1541974225,11032,11195
1541989225,10764,10927
1542006025,10822,10986
1542021028,10616,10780
1542035426,10693,10858
1542064826,10874,11033
1542079226,11176,11341
1542095425,11166,11331
1542109828,11315,11484
1542126627,10704,10857
1542155425,10338,10495
1542171025,10053,10204
1542199226,9507,9637
1542213026,9862,10004
1542226226,9522,9653
1542237625,9598,9732
1542250825,9340,9467
1542263424,9473,9603
1542275426,8713,8839
1542288626,7990,8103
1542300027,7762,7872
1542312626,7754,7862
1542324625,7850,7958
1542335424,7773,7881
1542348024,8064,8179
1542359427,8172,8290
1542370227,8167,8284
1542381627,8151,8275
1542393027,8147,8273
1542403826,8074,8196
1542414626,7916,8039
1542427825,7659,7776
1542439225,7517,7629
1542451226,7487,7599
1542464426,7472,7584
1542475226,7561,7672
1542487226,7863,7982
1542499225,7960,8082
1542510625,7980,8102
1542523224,7992,8114
1542533429,8007,8128
1542544828,7929,8048
1542555627,7772,7884
1542567026,7511,7617
1542577826,7395,7501
1542588626,7382,7485
1542600626,7411,7518
1542624027,7692,7814
1542637227,7812,7938
1542649827,7867,8000
1542661827,7891,8025
1542673826,7845,7977
1542685225,7719,7848
1542697225,7251,7372
1542709227,7290,7413
1542721227,7194,7316
1542733827,7240,7362
1542747026,7392,7521
1542758427,7564,7696
1542768626,7582,7712
1542779425,7633,7762
1542789631,7689,7820
1542801027,7610,7734
1542812427,7415,7542
1542822027,7175,7291
1542834027,7068,7184
1542844227,7057,7170
1542855025,7122,7236
1542877229,7265,7389
1542887428,7417,7544
1542899428,7500,7628
1542911428,7603,7733
1542922227,7591,7720
1542932427,7562,7696
1542943827,7145,7269
1542954027,7209,7334
1542965429,7121,7242
1542976228,8124,8249
1542988227,8332,8458
1543000827,8392,8521
1543012827,8513,8640
1543024826,8721,8852
1543035626,8777,8908
1543047030,8804,8930
1543059030,8823,8949
1543071029,8730,8852
1543083029,8476,8594
1543095629,8252,8367
1543118427,7943,8051
1543129227,7888,7997
1543140029,7873,7981
1543150830,7868,7975
1543161629,7940,8049
1543171828,7929,8037
1543182629,7791,7895
1543192828,7871,7980
1543203027,7960,8070
1543214428,7922,8033
1543227637,7836,7941
1543239030,7361,7457
1543249229,7274,7369
1543260630,7219,7313
1543281028,7115,7209
1543310431,10571,10715
1543354230,10585,10725
1543366829,10773,10920
1543395632,10471,10610
1543408231,9507,9639
1543421429,9602,9735
1543435229,9850,9987
1543447230,9702,9836
1543460429,9718,9853
1543473628,9880,10020
1543485631,9795,9940
1543497631,9661,9805
